RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
1,75682867,Johnson,666,Spain,Female,26,6,142901.15,3,0,0,167059.09
2,66755036,Smith,558,Spain,Female,63,2,206306.79,1,0,1,78283.96
3,66882282,Miller,384,Spain,Female,88,9,125068.26,2,1,0,90079.63
4,31081788,Brown,468,Spain,Female,77,2,67462.94,2,0,0,10729.22
5,23315092,Miller,414,Spain,Female,28,9,155176.37,3,1,0,57772.13
6,45788921,Garcia,664,Germany,Male,27,6,239265.66,3,0,1,64966.33
7,36735830,Garcia,591,Germany,Female,20,8,150289.84,4,1,0,96020.35
8,41632483,Garcia,847,Spain,Female,36,8,157404.86,4,0,0,36419.46
9,86737383,Jones,385,Germany,Female,19,2,233687.67,1,0,1,100965.71
10,98358551,Williams,812,France,Female,34,7,128818.78,4,1,1,137009.01
11,98409749,Brown,601,Germany,Male,19,0,249089.37,4,0,1,80543.64
12,14981505,Williams,752,Spain,Male,70,7,39915.51,3,1,1,54117.1
13,23953367,Brown,592,Germany,Male,33,10,134259.96,1,0,0,114066.13
14,95652971,Williams,391,France,Female,27,1,53225.21,2,0,0,15510.74
15,14521373,Johnson,418,Germany,Female,85,3,113331.59,3,0,0,74759.12
16,13344769,Davis,752,Spain,Female,60,6,42643.48,2,1,1,110242.15
17,86893497,Miller,456,France,Male,75,5,55632.19,4,0,1,73810.14
18,40349564,Smith,388,France,Female,77,8,52700.01,4,0,0,75631.97
19,52860080,Smith,418,Germany,Male,41,7,80007.83,4,0,0,171176.37
20,87751354,Miller,529,France,Female,33,1,33651.26,2,0,0,187458.44
21,72250665,Johnson,361,France,Male,26,3,202335.54,1,0,1,167204.6
22,76209791,Brown,688,France,Male,23,0,55168.9,3,1,1,28784.82
23,56792155,Miller,780,Spain,Female,82,6,104142.25,4,1,0,65051.06
24,31498555,Jones,553,France,Female,41,3,4014.28,4,0,1,145145.93
25,70221198,Brown,385,Germany,Male,27,7,26220.39,1,0,0,195134.63
26,89757501,Smith,475,Germany,Male,90,1,224067.98,3,1,1,56033.49
27,26861870,Jones,412,France,Male,44,7,209290.05,1,1,1,180659.99
28,62286002,Williams,681,Germany,Male,20,1,210230.61,1,0,0,150412.85
29,42049003,Jones,431,France,Male,55,10,102838.35,4,0,1,196855.57
30,71136438,Brown,846,Germany,Female,90,7,35382.7,4,1,0,27781.24
31,72194931,Johnson,656,France,Male,91,0,26973.63,1,1,1,85001.69
32,75285250,Williams,845,France,Female,90,1,151400.68,2,1,1,100841.85
33,79537252,Brown,648,France,Female,34,4,207048.31,4,1,1,137695.7
34,69248434,Williams,383,Spain,Female,65,0,225028.62,3,1,0,134254.69
35,71306900,Jones,589,Germany,Female,66,4,72182.91,4,1,1,182205.62
36,65831368,Smith,446,France,Female,60,4,80256.64,2,0,0,169347.89
37,20959014,Brown,398,Spain,Male,24,6,25219.16,2,1,1,20520.81
38,66972561,Davis,495,Spain,Female,85,1,193602.45,1,1,0,102442.62
39,58900483,Johnson,474,France,Male,91,1,68922.57,1,1,0,87341.63
40,30193880,Davis,538,France,Female,38,5,120232.37,2,0,0,199457.47
41,13385357,Davis,406,France,Male,42,10,232224.33,3,0,0,91179.06
42,54738553,Miller,698,France,Female,78,9,188053.93,1,0,0,139697.64
43,78574553,Jones,458,France,Male,45,2,13184.47,2,0,0,64041.59
44,26845364,Brown,354,Germany,Male,69,7,2038.65,3,1,0,126779.5
45,62157313,Johnson,822,France,Male,30,2,196851.98,3,0,1,49260.29
46,21392366,Brown,373,France,Female,51,9,138125.06,2,1,0,124685.26
47,79778859,Jones,570,Germany,Male,84,3,180083.6,2,0,0,174956.15
48,98883975,Brown,797,Spain,Female,21,6,39203.83,3,1,0,13655.18
49,23479854,Williams,664,Germany,Female,61,0,218011.96,3,0,1,105871.42
